昵称,星级,有用,评论
ㅠ,3,133,姜子牙变身以后磨皮效果不伦不类，七十的老头肌肤欺霜赛雪吹弹可破，可以去代言手机了：柔光自拍，照亮你的美。这个柔光效果简直就是对这部电影的隐喻：故事里的一切都是假的，都是为想象中的观众设定的。所以才会有那么多次强行催泪。最后一刻出现的鸿钧老祖，更是使得故事再入“皇帝是好的，只是被奸臣蒙蔽”的俗套。
时间之葬,5,234,比想象中更好，在我眼中也比《哪吒》更好。制作上应该是迄今为止国产动画的最高水准，文戏有旷达悠远之美，武戏有气吞山河之势。更让我中意的还是背后承载的主题，这才是真正的“我命由我不由天”啊，从质疑所谓“天道”，到质问所谓“神的旨意”，斩断最后一根宿命锁（指的是天梯）的姜子牙，真正拥有了一个自由的灵魂，也有了“救一人便是救世界”的胸怀。最后的彩蛋更是让人期待，彩条屋的神话宇宙这是真的要捏合成形了。
哪吒男,2,241,神话凡尔赛
凌羽灵,2,298,因为我心爱的吒儿而来，然后看到吐血……剧情很烂，极其浓烈的欧美风的酒馆，欧美风的造型，还有浓浓欧美风的建筑风格，还来个布娃娃，还有纽扣，让我死吧，还各种强行煽情，不知道怎么说……多给一星是因为当美术片看还可以，其他就算了
seamouse,1,113,比《信条》还看不懂的狗屁神仙逻辑。创作者似乎想借传说中空白的封神(后)宇宙，去思辨神的存在与神的权利，去乱七八糟的在狐族人族仙界(到底几个界)的跳跃中迷失。虚空的故事全靠一些垂直礼花似的快手效果撑满电影时间。唯一的0.5分给片尾彩蛋，好好丰满姜子牙性格，跟着《哪吒》的好基础，把他好好写成强迫症多好。
lemon,1,207,动画制作再精良剧情不过关也是白费，get不到导演想对观众表达啥，第一次给一星
严荼,5,83,"统治者的三板斧
【宿命锁】把欺骗操纵和不公，涂抹成成功幸福和正义的模样，向九尾兜售成功，向妲己许诺幸福，向姜子牙传授正义
【归墟】宗教领袖和统治者口中凡人的唯一救赎，是下辈子会更好的大饼
【封神榜】斩断善念牺牲个体的大局观是一个管理者必备的境界和觉悟

你一定从开始就猜到九尾怀中的孩子是妲己，你以为她天赋异禀身份反转能够挣脱宿命枷锁变成主角，可惜不是；姜子牙讲得就是这样残忍的故事：别做梦了，你就是一个被牺牲掉的历史代价，你不重要

世俗的封神榜所载皆王侯英烈，不会有人追念一个被牺牲掉的无名氏，就算她后来变成了赫赫的妲己，这名声也无法诠释当天殒命花轿的姑娘的人生；遑论那些战死沙场的小卒

经过今年初这魔幻的世界，我们没有谁可以笃信自己不会成为那个代价；这时如果站出来一个姜子牙他还愿意在意你呢？"
伊谢尔伦的风,5,83,男妈妈！是男妈妈！！！！
DNOFIN DOWN,5,140,首先这不是一部《哪吒之魔童降世》全年龄受众、亲子观众喜欢的电影，大家观影前要调整好预期。这部《姜子牙》创造了国产动画电影制作上的新高度，水准之高、帧帧瞠目。从剧作上讲，其实是一部成熟的类型电影，只是采用动画形式表达。虽然有四不相小萌宠，也有笑点担当，但整个观影过程会很深沉很投入。很欣慰光线彩条屋“中国神话系列”第二部作品有这样出色的呈现，希望取得15亿以上的票房。
恶魔的步调,4,18,看这开场画风，想必是张旺粉丝。最后大家都说创世纪那段，不就是灰袍变白袍吗，最后桥也确实断了，虽然前后顺序不一样。
悲情胡三万,5,135,脑洞很大，创意很赞，视听效果是真牛逼，但也就喧宾夺主了，故事本就不出彩，剧本节奏有点紊乱，主旨一脉延承了新兴神话宇宙的套路，所以开头就猜到，意外的大惊喜亮点是结尾的绝地天通。plus，整体风格基调太阴暗了，把我周围的小朋友都吓到了，我一个成年人也看得不大舒服……
＃巽＃,4,28,比哪吒好太多了啊。“屌丝”视角，父慈子孝，丑小鸭变天鹅结构的哪吒口碑票房双赢；相比之下精英视角，人道主义，逆天抗命的姜子牙则不尽如人意，这一明一暗的对比也形成了对当下最好的隐喻。开局的2D动画最漂亮（全片保持这个画风我会考虑五星），结局弱，太多语焉不详大而化之，“师父的师父的师父”这种你爸爸的爸爸的爸爸的思路也很…hemmmmm。剧作套路过多，但文本核心我买账的。打戏漂亮。最喜欢的几个点：醒来的亡魂追随骨铃而走；九尾狐以头抢地撞开狐族囚笼；被锁链束缚仍然冲天一怒的狐族亡灵。最喜欢九尾狐，像一团燃烧的愤怒的疯狂的熊熊烈火，我想象中，这样的气质应该出现在哪吒身上。而不是那个流着鼻涕横行乡里的黑眼圈和神仙打架殃及凡人的锥子脸。
绿小野马,5,30,想了一下还是决定改成五星。说剧作上和分镜上还是有问题，没错；可是我希望编剧和导演想传达出来的“一人即苍生”和对所谓权威的反抗和质疑，能被更多的人看到。这样有反思精神的电影+动画，在今天真的太难了太难了
Farewell,2,257,早上8:25冲进电影院，花了两个小时促进全球气候变暖。成熟的美术幼儿园级别的剧情，想要观众共情可不是通过人物的大喊大叫来实现。真希望那句“疫情让中国电影行业倒退30年”是真的......封神IP下埋着的是文化宝藏，而不是国人的钱。
巴塞电影,4,31,"期待了这么久的《姜子牙》终于来了，姜子牙本可以成为众神之长，但是为了心中的善念、为了寻找一个真相，甘愿到凡界，放弃神位。他面对的是众生和一人的道德困境，他选择了做自己的神。虽然同属于封神宇宙，这部片子和《哪吒》不一样，这是一个平民英雄，甚至是能让一个普通社畜有共鸣的故事。

以深度来说，《姜子牙》比《哪吒》的主题更深，是成人向的作品，它用公路片的形式，让主角一路找到真相，也找到真正的自己。而国漫真的想要崛起，就需要不同的故事，这样的探索，很有价值，证明国漫是真的在进步。

而制作层面，《姜子牙》要比《哪吒》还要成熟，进步了很多。各种法术招式、奇幻生物，这部片子给中国的玄幻，真正做出了一个好的外壳，视觉效果非常棒，开头段落二维动画史无前例，很有冲击力。《姜子牙》的视觉，可以说是目前国漫的新高。"
mumudancing,4,32,季冠霖的配音可以封神了
寻鹑上,2,172,"前十分钟看的我以为我在看预告片。
通篇的炫技感太重了，而且镜头衔接好差啊，这个导演真的有点问题。姜子牙申公豹的CP我真的吃不下。
姜子牙还是帅的，但一说话我就出戏。
四不像可可爱爱，它死的时候我才发现那个饼有馅！
这场有个小朋友真的很努力的在读字幕上他认识的字，家长劝都劝不住。"
免費,5,80,邦德在执行任务中发现M隐瞒了很多真相，但M说要成为最好的特工就要服从命令并分清主次，邦德认为要遵从内心去救助每一个眼前人…后来M以及六处被首相处罚，邦德荣升爵士；CIA联合塔利班一起对抗苏联，苏联从阿富汗撤军之后，塔利班没有得到美国的承认反而被美国打压，塔利班一手制造了9.11惨剧，奥巴马说了句“皆为苍生，随即斩首本拉登，然后又说“这是最好的安排”！
纪恩同学,5,34,一个细节细思极恐：天尊说苏妲己要去归墟转世以后才能摆脱宿命锁，于是姜子牙他们都带着她去了。结果如果不是后来九尾狐来了砸开了归墟，苏妲己不就是跟其他狐族一样囚禁其中了吗？所以苏妲己进去之前问姜子牙神仙不骗人吧，姜子牙答我不骗你，最后其实隐射了天尊那些神在欺骗愚弄所有人和妖？
第七大陸,4,241,"人妖神，在其内里没有什么不同，逃脱不了贪嗔痴的本性，即使是天上的神仙，说为苍生，谁人无那一些私心？人物与哪吒有着很大不同，姜子牙处在正道，并坚信自己的正道，可这正是这样的坚信不疑，让他在北海想了10年还是想不明白自己的错处。
哪有什么善恶之分，不过是上层人制定的标准。所以他打破天梯，让神远离人，愿上层人的权利与欲望远离人间，愿人间不再有冤魂，不再有人为制造的苦难。
其实说白了，哪吒之后，好像封神宇宙都要逆天改命，哪吒其实有“依靠”，从始至终的人物弧光都是凭着一口气，从忍到放；而姜子牙则选择了更难的方式，没有依靠，全靠自己。
不要被哪吒的“燃”捆住了手脚，姜子牙无疑在这一点上的想法让人惊喜。"
小k516,4,54,剧情有点俗套，转折感觉有点生硬，但是在冤魂听到骨风铃声音的时候还挺感动的，另外姜sir的声音真是太太太适合不食人间烟火的神仙的声音了吧，还心疼季大的嗓子，总体还挺好的😄
抹茶先生,2,187,两份全给画面，特效，为什么非要加一些奇奇怪怪的感情线？
圆首的秘书,2,50,我所佩服的是，全片没有两句连着的台词是真正连着的，这不是剧本不行，是语文不行
#水泥#,5,33,我最好奇的是，《姜子牙》和《哪吒之魔童降世》在时间线上谁先谁后，申公豹在这中间经历了什么。怎么哪吒里的猥琐大叔，在这里竟然是傲娇炸毛熊受呢？
柯里昂,3,61,两星半。实际上还是我命由我不由天那套命题，但拍得更加保守，徒有华丽画面主线剧情一路泄气就算了，欠观众一场正面刚师尊的高潮戏就算了（所以砍断天梯后一笔带过交代对师尊的惩罚是创作者在害怕/影射/自我审查后的退而求其次？），最不能忍的是雪地里走路竟然没脚印……作为动画这种细节太减分了，十年前的单机都不会做得这么敷衍。
黑狗成,-,23,内容大部分记忆点都还是很多老片类似桥段玩过的，本片最大贡献，让部分观众知道所谓观影团跟片中的天庭是一回事。
＃巽＃,4,28,比哪吒好太多了啊。“屌丝”视角，父慈子孝，丑小鸭变天鹅结构的哪吒口碑票房双赢；相比之下精英视角，人道主义，逆天抗命的姜子牙则不尽如人意，这一明一暗的对比也形成了对当下最好的隐喻。开局的2D动画最漂亮（全片保持这个画风我会考虑五星），结局弱，太多语焉不详大而化之，“师父的师父的师父”这种你爸爸的爸爸的爸爸的思路也很…hemmmmm。剧作套路过多，但文本核心我买账的。打戏漂亮。最喜欢的几个点：醒来的亡魂追随骨铃而走；九尾狐以头抢地撞开狐族囚笼；被锁链束缚仍然冲天一怒的狐族亡灵。最喜欢九尾狐，像一团燃烧的愤怒的疯狂的熊熊烈火，我想象中，这样的气质应该出现在哪吒身上。而不是那个流着鼻涕横行乡里的黑眼圈和神仙打架殃及凡人的锥子脸。
不懂电影,2,96,豆瓣影评人不要再吹了，别扯什么主题高度不高度，能不能回归本真，探讨故事好伐？只谈高大上主题不谈电影本身，不就是皇帝的新衣？——所谓“看不出来这种高大上主题的观众都是没看懂。”的言论真TM烦。……吐槽完评论，吐槽一下电影，大场面疯狂乱堆，预算唰唰地燃烧，结果人物扁平，故事简单，情感空洞？相比较哪吒那简陋中透露出来的用心，姜子牙简直就是金玉其表，败絮其里。我很担心之前努力过的国漫作者们最后换来的仍然是资本介入后的“国漫”泡沫——用越来越多的钱却越拍越忘本。
免費,5,80,邦德在执行任务中发现M隐瞒了很多真相，但M说要成为最好的特工就要服从命令并分清主次，邦德认为要遵从内心去救助每一个眼前人…后来M以及六处被首相处罚，邦德荣升爵士；CIA联合塔利班一起对抗苏联，苏联从阿富汗撤军之后，塔利班没有得到美国的承认反而被美国打压，塔利班一手制造了9.11惨剧，奥巴马说了句“皆为苍生，随即斩首本拉登，然后又说“这是最好的安排”！
纪恩同学,5,34,一个细节细思极恐：天尊说苏妲己要去归墟转世以后才能摆脱宿命锁，于是姜子牙他们都带着她去了。结果如果不是后来九尾狐来了砸开了归墟，苏妲己不就是跟其他狐族一样囚禁其中了吗？所以苏妲己进去之前问姜子牙神仙不骗人吧，姜子牙答我不骗你，最后其实隐射了天尊那些神在欺骗愚弄所有人和妖？
这辈子爱幂,2,161,特效很棒，剧情很烂。
连城易脆,3,23,在豆瓣标记的第1900部电影赶上了一战封神的姜子牙。对我而言，本片是一部画面胜过故事的电影，再加上3D，所以激光IMAX是呈现本片的最佳打开方式，在视觉特效、美术设计、动作指导等方面都有较高的完成度。而故事层面很多人在讨论传达的个人主义价值观，并同家乡的集体主义构成对比。我反而更加主义的是导演拿小九作为苍生的代言人，我觉得不是太成立，拯救苍生是本片的slogan，然而全片不见苍生只见小九，从逻辑上来说我觉得不是很通顺。另外元始天尊利用九尾狐精的重要情节也几乎用旁白在讲，且讲得也不算很清楚。虽然套着封神演义的外壳，然而完全是原创的故事，因为电影一开始封神榜都已经结束了，申公豹也不再是死敌反而舍己为人了。相当于是封神演义后传。
巴塞电影,4,31,"期待了这么久的《姜子牙》终于来了，姜子牙本可以成为众神之长，但是为了心中的善念、为了寻找一个真相，甘愿到凡界，放弃神位。他面对的是众生和一人的道德困境，他选择了做自己的神。虽然同属于封神宇宙，这部片子和《哪吒》不一样，这是一个平民英雄，甚至是能让一个普通社畜有共鸣的故事。

以深度来说，《姜子牙》比《哪吒》的主题更深，是成人向的作品，它用公路片的形式，让主角一路找到真相，也找到真正的自己。而国漫真的想要崛起，就需要不同的故事，这样的探索，很有价值，证明国漫是真的在进步。

而制作层面，《姜子牙》要比《哪吒》还要成熟，进步了很多。各种法术招式、奇幻生物，这部片子给中国的玄幻，真正做出了一个好的外壳，视觉效果非常棒，开头段落二维动画史无前例，很有冲击力。《姜子牙》的视觉，可以说是目前国漫的新高。"
mumudancing,4,32,季冠霖的配音可以封神了
渡边,1,68,编剧是中学生吗，这编的是个啥？全程没一处完整的叙事，人物逻辑行事动机为零，场景配乐假大空，情绪铺垫完全没有就开始煽情，尬不尬？后排小朋友都看得哈欠连天，有这时间真不如在家打两把农药。
基闹,1,61,无端的悲悯，无因的博爱，无果的殉道，唐三藏后就再没见过这么假大空的角色了。
第七大陸,4,241,"人妖神，在其内里没有什么不同，逃脱不了贪嗔痴的本性，即使是天上的神仙，说为苍生，谁人无那一些私心？人物与哪吒有着很大不同，姜子牙处在正道，并坚信自己的正道，可这正是这样的坚信不疑，让他在北海想了10年还是想不明白自己的错处。
哪有什么善恶之分，不过是上层人制定的标准。所以他打破天梯，让神远离人，愿上层人的权利与欲望远离人间，愿人间不再有冤魂，不再有人为制造的苦难。
其实说白了，哪吒之后，好像封神宇宙都要逆天改命，哪吒其实有“依靠”，从始至终的人物弧光都是凭着一口气，从忍到放；而姜子牙则选择了更难的方式，没有依靠，全靠自己。
不要被哪吒的“燃”捆住了手脚，姜子牙无疑在这一点上的想法让人惊喜。"
小k516,4,54,剧情有点俗套，转折感觉有点生硬，但是在冤魂听到骨风铃声音的时候还挺感动的，另外姜sir的声音真是太太太适合不食人间烟火的神仙的声音了吧，还心疼季大的嗓子，总体还挺好的😄
风间隼,4,22,前半段是动画版《出租车司机》，后半段是封神版《半泽直树》。如果说《哪吒》是油腻巨婴逆天改命，《姜子牙》就是大叔通过正名“狐狸精”为前半生功业找回正义基准点。故事和设定都够扎实，是孩子和成人都能观赏的电影。至于“救一人就是救苍生”的中二病发作拼个“绝地天通”之后，世界真的会变得更好吗？我觉得这才是影片给出的最大神话。但不论如何，中国动画对于严肃题材的思考已经远远走在了真人电影的前面，加上绚丽壮美的画面，在深度和表现力方面其实已经不输日本动画。
路西法尔,2,25,这部电影存在的意义就是不断地展示作者的脑洞。申公豹为姜子牙开天梯，姜子牙说会这样你的修行就白费了，但是这个flag回收了吗？没有，随后申公豹这个角色直接没了。这样有始无终的flag太多了。一个又一个奇观场景才是串联起影片的内在动力，至于情绪啊、逻辑啊，这些东西能吃吗？
#水泥#,5,33,我最好奇的是，《姜子牙》和《哪吒之魔童降世》在时间线上谁先谁后，申公豹在这中间经历了什么。怎么哪吒里的猥琐大叔，在这里竟然是傲娇炸毛熊受呢？
有心打扰,4,19,破除封建迷信，从此庇佑在党的光辉下。
不良生,5,36,最耀目的昆仑弟子，最巅峰时刻堕入黑暗；最历经磨难的无辜女孩，最能识别久违的善良；最惨烈孤独的旅途，最是写着生命真谛的答案；最破败不堪的废墟，最能找到重新拯救小我与大我的真相。总说“国漫的崛起”是任重道远的美丽梦想，至少这些年，大圣、哪吒、白蛇、姜子牙……他们的出现一直让我们看见倔强的微光。在平凡人的人生里，这些中国民间神话人物角色，曾让我们内心深处翻涌起渴望，明白活出自我英雄主义也是一种力量。
王俊俊,2,53,"幼稚，青涩，空洞，虚浮，无叙事技巧，无节奏。
动画制作和美术不错。"
哈尼路亚,2,135,剧情也太一言难尽了，失望
文森特,3,27,没有封神宇宙，没有诸神之战，有的是姜子牙一战封神之后的奥德赛。一战封神是片头2D简略交待，之后是漫长乏味的流放之旅。内心的信念与外在的牵引交织，孰正孰邪，一人与苍生，孰轻孰重。貌似有着宏大的主题，但是宏大用更宏大化解就撑不住了，或者说崩了，一边想接地气，一边更虚无缥缈，完全够不着了。片子视觉效果确实不错，精细但不至于震撼。全片都比较阴郁、压抑、慢节奏，从人物内心到画面效果，有些设计还有些诡异，所以不建议带孩子看。
浮云Ukigumo,3,35,"3.5
勉强三星半，算是低开高走。相比哪吒而言抛弃了较多娱乐性，选择了些许作者性(个人感觉，可能存在），更面向于成人化的一方世界。关于个人/苍生的抉择命题表现太过于直白，深度也非常浅(也可能是我在姜子牙之前刚看了生命之树？）。当然哪吒的“拒绝角色脸谱刻板化”在姜子牙这里得到某种程度上的高质延续。叙事节奏上些许欠妥，口号性台词感还是过于浓烈。一方面来说，有抛弃低俗之优，另一方面来说，又有步入自我意淫之嫌，批判力度不足大概也与审查脱不了干系。至于煽情，我一向持反对(除了吴念真），对于姜子牙，我也只能说有点尴尬。PS我可能脑子抽了，居然感觉和马利克有连线？(一定是我刚刚看了生命之树！）"
淋,2,75,"当微博上都在夸一部电影的时候，那它肯定有问题定律。从审美到故事，姜子牙都完全配不上“脸面”，一边扬我国威瞧不上洋皮的刻板印象和国外价值观，另一边画着失真的东方脸还嚼着人家剩下的内核沾沾自喜。
PS：国漫要崛起的第一步，先要改掉谈情怀和炒营销的臭毛病"
已汪销,3,34,《子牙仍未知道那年夏天师尊做了什么》
禹贡,3,82,美工和特效可以，剧情、节奏和人物塑造真的不太行……
Enjolras,4,45,"《姜子牙》的故事起源角度很有趣，封神之后的姜子牙并未位列正神之位，他到底何去何从了，鲜少有人去《封神演义》中寻找答案，《姜子牙》就抓住了这个契机，虚构了又一段传奇故事，这就像当年的《侠盗一号》，仅仅从《星球大战》片头的一句字幕中展开了一个新的故事，有创意。
国漫的佳作频出已经一遍又一遍地证明了动画电影工业水准的成熟，而《姜子牙》则在精致的画面基础之上，雕琢出了更具古典艺术感的画风，再加上不断升级的大场面，视觉冲击力和观赏性已然拉满了。
故事层面上则更大胆，把姜子牙塑造成了一个修行者、思想者乃至于革命者的形象，对真相的探索，对权威的挑战，对众生的悲悯，对自由的追逐，这绝对是一部能够满足孩子的电影，而成人将会看到更多。"
阿w,2,58,好家伙短评里又一水的国漫崛起。动作戏怎么那么爱快剪加大特写啊，台词怎么那么玛丽苏啊，说了半天的隐情，逻辑也根本说不通啊，别为了讽刺而讽刺好吧？女主真的太李元芳了，感觉下一秒就要扔出个大转盘，我一直等九尾能画成个美女，结果从始至终都跟无脸男似的
平成宅叔,3,18,十元结婚了，难过到在影院暴哭，我的青春结束了。
女神的秋裤,3,22,完成度比《哪吒》好很多，画面精美，3D效果很棒，但故事简陋。救1人还是救5人的电车难题，由于姜子牙过于思虑，格局小到只见儿女情长，不见所谓苍生。剧情简单，造成感情表达像无病呻吟，极端的浪漫和至善显得矫揉造作。崩在“啃老”，而且啃的是西方神话的内核，中国古典故事的创造力毫无长进，只限于角色和画面。
迦南Canaan,4,20,混搭了日本、美国甚至香港电影中的多种元素塑成了精美的壳，内里却是另一种境界。这是一部对观众不太友好的电影，放弃了《哪吒》对商业元素的妥协，这部致力于向观众输出挑战的价值观模式，成自我的道，不歌颂奉献的牺牲，需要观众抛下《哪吒》的期待去看。
哥谭精神病人,1,94,面子上装的比哪吒高级，实际比妙先生还要空洞。整部片子拍出来的东西就像一个笑话，所有的人物动机东一榔头西一棒子的交代，从来不是人物推动剧情，永远是剧情赶着走，把所有人的行为逻辑搞得变化莫测，一个比一个看着像是有病。整部片子看起来就是一盘散沙，所有的剧情点都是硬拼在一起，想要做的东西巨多无比，做好的东西一个没有，全片看下来完全不知道核心主旨在于何，不知所云。视觉呈现上，冤魂段落看到了创意所在，但是其它部分一无是处，所有场景没有任何细节可言，一切背景粗糙处理，劣质，塑料感溢满屏幕，缺乏创意的同时又极其不认真，连人物建模都是敷衍了事，没有一个有特征有记忆点的角色建模，古板，老套，陈腐，潦草，布满了全片。这么一群纸片人设的东西和哪吒共处一个宇宙，还能再可笑一点吗？
去尘,5,53,我觉得很好看啊。说故事不行应该更注重娱乐性吧，这个故事明显要丰满一些。虽然最后差了一口气，但我觉得可。四不像，小九。申公豹，人物很立体了。
阿朽,2,0,剧情配不上美工
张咏轩Wayne®,3,32,彩条屋的动画工艺出类拔萃，完全不输好莱坞，线条流畅自如，色彩运用登峰造极，想象力也开出了花，这部电影在技术表现力上只增不减，但在文本打磨上就差强人意，对“封神”姜子牙的故事进行了重新的解构，点出了一人不救何以救苍生，个体与权利阴谋的对抗议题等等，还着重展现角色内心的拉锯与现实的混沌的相互制约，也算是姜子牙筑成仙道的公路救赎片，但是整个剧本的脉络和梳理，依靠于大量苍白的对话为引，叙事纹理倾向平庸的流水堆叠，姜子牙和小九也没烘托出人物之间的关系火花，各有执念各有意图，所以完全没有“哪吒”里那火热的使命感和剪不断的情缘来的荡气回肠又感天动地，不过是各自成全的公路情谊罢了，剧作结构效仿好莱坞，文本是小学生作文水平，技术是国内顶级流量，想象力是无限极的光，还可以继续期待彩条屋下一部巨作《深海》★★★☆
汪金卫,4,18,IMAX3D版。动画技术诚然比国际一线作品还有差距，“简体中文小篆”也有点拧巴。不过玄鸟等桥段的刻画还是可圈可点的。剧情在传统公路片套路的陈旧模式上点到为止地触及反抗上层议题，揭露高高在上者的道貌岸然、养狼防狼。然而遗憾地与很多国产电影一样，最终仍要依靠更上层力量的恩赐、开明、干预才能“拨乱反正”，主旨被大幅削弱。片尾后两个彩蛋观感彻底破坏了电影苦心营造的整体气质。成人国漫值得鼓励，但仍刚刚起步。三星半
Mi,2,96,九尾戏太少，剧本烂，动画也一般，强行3d不可。
扭腰客,2,11,技术的积累，并不能掩盖思想的荒芜。国漫崛起和华为手机一样，“洋装依然穿在身，你芯也依然不是中国芯”，都是自撸自摸的假高潮。道阻且长，要继续向张艺兴学习啊，努力努力再努力！
Bwheat19920313,5,37,"95/100。一下子让《哪吒》那个小儿科一般的无病呻吟现出原形，谁说动画片只能有逗着孩子笑的初级功能，反应起一些某些真人电影不能呈现出的深层东西反而更为震人。
有人顶着高高的帽子用夺目的光芒遮住了自己能被人看到的一切内幕，在阴影里用肮脏的双手把世间涂得乌黑不已。这光芒能遮蔽近乎所有人的眼睛，却必然会露出自己丑陋的尾端。这尾端，有人视而不见，有人视为异端，只有某些人甚至某个人，能真正看清它早已被斑驳遮蔽的真实面目，用自己被压制之后仅存的那一点力量去反转整个颠倒的世间，哪怕一夜白头，哪怕天梯坍塌，哪怕万劫不复。
一人不救，何以救苍生？这不仅是心怀正义之人心中最深的呼唤，更是自上至下每一个人都应该听到的声音。这世间，谁都不准掉队，谁都不准凌驾，谁都不准削去哪怕一丝的锋芒。"
Enlightening,3,15,虽然没有了哪吒中的各种刻板印象和无趣笑料，但《姜子牙》仍然显得乏力不堪，影片中动机最明确的人物只有狐妖，编剧甚至不屑于对姜子牙和小九进行真正意义上的人物研究，这也使观众和主要人物之间的共情几乎没有可能完成，四不相死去时的凄美配乐也只能让人感到尴尬。对dictator和genocide的隐喻让人振奋，但当它说出“师父的师父是师尊”时，我苦苦盼着下一句是“师尊的师父是苍生”，结果它竟然说天上还有个师祖，这让影片好不容易迸发出来的政治批判性瞬间变得苍白无力；如果说师尊象征着可见的权力，那么宣称为苍生斩除权力之恶的姜子牙仍被那只看不见的手操控着，所谓的底层立场和个体反叛最终仍是对科层制合法性的默认。中国动画还有很长的路要走，并且和其它电影一样，这条路上的障碍从不仅仅是技术落后或缺乏有创意的编导。
XiuYan7101,5,61,就要强迫症男妈妈！！！！
在你身体里冲刺,5,26,人类之所以得到好的结局安居乐业是因为最终失去了神明的庇佑，这个结局真的太太太妙了。国漫迄今为止最大的进步远不仅仅是精细的画面和炸裂的特效这些技术层面的东西，而是在中国，动画终于不是只给孩子们看的东西了。不论从价值还是从剧情上，再到这部电影的诚意和精致程度，都值得打一个满分。
阿麦。,3,58,如果这就是中国动画的财富密码，以后都不会再看了。
木一,3,26,作为商业片倒也没有那么糟，视觉OK，该有的场面都有。剧情其实立意不错，但问题是整体的节奏安排只服务于最后的悬念，却没有用人物个性去推动，所以拨开外壳就是一些描写空洞的牺牲、阴谋、拯救之类的东西，看起来有深度其实很俗气。继续加油吧。
不吃葱,5,255,在神话改编上，打出了新的世界观。角色塑造上，姜子牙的内省和觉醒，都很厚重。技术上，无论是二维还是3D，都是中国动画电影目前的天花板。大圣哪吒姜子牙，走出了三条不同的路，真的很感动。坚持，加油！
YQY-Vader,3,16,开场有被唬到，整体比《哪吒》好，比《哪吒》对原著进行更加大刀阔斧的改动，人妖神被重新定义，与现实联系，这种改动又非儿戏似的，而是严肃认真的，并实施在细节上的：天神群像的铁面与狐妖破碎的假面。看到快结束的时候，我在想难道国产动画电影和国产真人电影是两套不同的审查体系吗？以《夺冠》为代表的真人电影在表达个人体制对抗时总是频频受阻，而动画电影可以完成这套表达，直到看到最后“天外有天”才明白真人电影片尾那套拨乱反正的字幕在这里视觉化呈现罢了。
半夜植树,3,7,姜摩西出北海记。忠犬小四、忠豹申公各值一星，美工值一星。
白胡椒哇,3,25,全片最惊艳的是开头二维动画，通过3D的形式对二维动画进行了分层和拼贴处理，极具特色，可以说是最不向大众品味妥协的风格傲骨，其次是结尾贴片的《深海》，无论是画风还是制作都完爆《姜子牙》，而且是原创IP，田晓鹏冲鸭！说回影片本身，剧本略土，作为公路片无论是人物转变还是情感处理都太过于草率，过渡衔接过于生硬，制作方面比不上《哪吒》，渲染方式主要是大的色块组合，太像游戏了，环境这么渲染没问题，但人物也这样就显得塑料感十足，皮肤纹理不足，毛发过于粗糙，根本经不住巨幕的考验，及格都勉强。制作短板还表现在文戏长，武戏短，动作分镜快而不流畅，再加上环境普遍较暗整体细节缺失，动作就显得藏拙，全靠光影粒子嗖嗖嗖。另外，感觉整个片子的基调都不对劲，过于苦大仇深，配乐史诗感但缺乏起伏，一个人的故事就不要搞史诗啊喂！
glim,4,18,把圣传改拍得挺好，至少努力让人们了解普罗米修斯背叛奥林匹斯的孤独
��🌵,3,11,彩蛋比正片好看。现在这些国产动漫都是什么毛病呢？伪劣3D就不说了，最后必定是一场撼天动地级别的奇观性战斗（《大鱼海棠》《大圣归来》《魔童降世》），一到这种时刻就开始不讲道理，各种矛盾，情节的、人物的、主题的，全都随着情绪和视觉的高潮一并消去，用非逻辑的影像空间解释逻辑，总是很顺拐。以及，我们除了神话故事真的就做不出其它题材的动画了吗？
喵尔摩丝,4,21,是好看的，能看见经典神话如一个宇宙般铺展开来，是特别让人激动到起鸡皮疙瘩的一件事，开篇的火烧朝歌，中间的玄鸟引魂，都已经做到了。长得像基努·里维斯的姜子牙，骨子里是普罗米修斯，由他引出的话题是，什么是不公，谁制造了不公。如果说哪吒是“我命不由天”，到了姜子牙这里，也成了“谁的命都不由天”，然而群神在上，缄默不语，他这样的反叛太过悲壮。我们目之所及，只可以看见神妖大战，看不见的是神与妖早有勾连，朝歌这把火，究竟烧与灭，压根不重要，因为不管结果如何，都是众生皆苦
明安,2,25,美术，强。故事，烂。
CyberKnight电子骑士,3,21,三星半。看的IMAX，之前挺期待的，看完比较失望：画面可以给4.5星，精致细腻，宏大有气势，美术设计水准很高；立意很高，从“救一人与救苍生”到“撕下神灵假面”，比《哪吒》有深度。然而，剧本很差！只能说勉强成立，几乎毁了精致的制作和主题呈现。除了姜子牙其他角色都很浅表，师尊面目模糊，申公豹一根筋（既然是自己偷偷下凡的，为何开始要以看守的身份对待姜子牙？），小九这个角色更是跟主题几乎无关，完全可以大量删减戏份，作为配角出现，现在浪费了大量剧情却无助于主题表达和姜子牙的塑造。很多设定没讲清楚，比如师尊为什么要给九尾那个锁？转世的玩意儿怎么就成了九尾召唤冤魂的工具，她之前有打算吗？故事缺乏张力和冲突，一路走一路打；搞笑和煽情都比较刻意；结尾忽然出来个师祖，几句画外音就把始作俑者师尊给处理了，过于草
